Batch_id,Production_date,Product_ID,Production_line,Shift,Planned_output_kg,Actual_output_kg,Waste_kg,Operation_minutes
4893GH,04/11/2025,10007,Line 3,DS,1907.4,1783.5,132.8,458
9605GP,06/09/2025,10001,Line 1,DS,2199.2,1860.6,352.8,539
2407TO,08/11/2025,10009,Line 1,AS,1428.4,1387.1,61.2,400
9484GI,09/09/2025,10005,Line 2,DS,1545.7,1447.6,114.6,386
9642SN,18/03/2025,10013,Line 3,AS,1182.5,1107.1,80.2,377
8636ZJ,09/03/2025,10004,Line 2,DS,1701.9,1557.4,150.8,304
8938PR,22/10/2025,10009,Line 1,AS,1876.1,1716.0,178.8,354
9978CX,05/12/2025,10009,Line 1,DS,1883.8,1786.4,102.3,462
9689JA,07/08/2025,10005,Line 2,DS,1787.5,1689.9,99.3,461
9666ZN,26/09/2025,10017,Line 3,AS,1851.2,1691.7,171.1,467
7552KB,27/01/2025,10009,Line 1,DS,2046.1,1975.7,89.0,473
3583BK,24/01/2025,10011,Line 2,DS,2098.7,1847.4,257.1,485
3586JD,10/12/2025,10002,Line 1,NS,1257.0,1143.6,131.7,303
5508LW,21/08/2025,10012,Line 1,AS,1631.5,1450.9,185.7,434
3244QO,06/01/2025,10010,Line 3,DS,1848.8,1687.9,162.5,519
4113VZ,27/04/2025,10011,Line 2,DS,1801.3,1763.8,52.7,320
8736OT,23/02/2025,10002,Line 1,AS,1543.8,1452.1,104.2,418
2969RM,05/08/2025,10009,Line 1,AS,2552.0,2415.6,137.8,453
2774TF,26/08/2025,10006,Line 1,NS,1546.0,1390.6,169.9,535
9293YU,05/07/2025,10005,Line 2,DS,2252.6,2062.7,206.0,529
7759OE,16/12/2025,10020,Line 2,DS,1852.5,1834.0,38.2,487
7179MT,18/11/2025,10003,Line 1,DS,1729.7,1586.6,149.4,534
9452FR,01/07/2025,10001,Line 1,AS,1925.3,1845.5,99.2,506
2605HJ,28/01/2025,10020,Line 2,AS,1815.6,1610.1,205.7,418
7422AO,29/12/2025,10009,Line 1,NS,2070.9,2046.7,35.3,415
7470JS,20/03/2025,10003,Line 1,AS,2030.7,1848.1,192.1,509
1484BB,01/06/2025,10011,Line 2,DS,1950.6,1771.0,193.9,364
2036UB,27/03/2025,10007,Line 3,DS,1854.0,1674.0,193.9,487
1883MC,06/05/2025,10016,Line 2,AS,2025.9,1907.1,137.6,318
8385KZ,22/12/2025,10002,Line 1,AS,1437.7,1304.6,150.1,371
3117OF,26/03/2025,10015,Line 1,AS,1747.1,1575.6,175.5,471
6898ZK,06/05/2025,10007,Line 3,AS,1936.0,1800.7,146.7,498
4105GL,08/07/2025,10018,Line 1,NS,2255.3,2153.8,118.0,430
9614KS,24/08/2025,10006,Line 1,NS,1359.7,1209.0,160.7,438
6029EA,18/06/2025,10017,Line 3,AS,2440.3,2289.9,164.0,453
3565LQ,22/10/2025,10002,Line 1,NS,2408.2,2288.3,120.4,553
8722NA,29/10/2025,10006,Line 1,AS,1536.3,1401.9,142.3,432
5734FE,07/04/2025,10004,Line 2,DS,1599.3,1418.6,191.6,392
1259CZ,04/02/2025,10020,Line 2,DS,1178.1,989.6,198.6,465
3020ZJ,04/12/2025,10001,Line 1,AS,2145.2,2009.1,145.4,347
4342KD,09/05/2025,10006,Line 1,NS,1896.6,1691.5,224.8,350
1704QR,31/10/2025,10020,Line 2,DS,2185.3,2079.1,115.7,484
4615TP,01/02/2025,10017,Line 3,DS,2427.0,2402.7,39.3,441
5047WX,27/02/2025,10006,Line 1,NS,1752.1,1614.3,141.0,459
7752DQ,30/09/2025,10010,Line 3,AS,1825.3,1807.0,30.3,385
1851OZ,01/11/2025,10020,Line 2,NS,1777.5,1726.3,57.3,398
6969DZ,12/12/2025,10005,Line 2,DS,2471.4,2269.4,213.6,402
3996VQ,29/08/2025,10004,Line 2,DS,1892.4,1689.0,215.1,486
8236FP,22/12/2025,10005,Line 2,DS,1125.3,1027.3,105.0,453
4765JH,06/03/2025,10001,Line 1,DS,1786.4,1757.7,48.1,458
