"Batch_id";"Production_date";"Product_ID";"Production_line";"Shift";"Planned_output_kg";"Actual_output_kg";"Waste_kg";"Operation_minutes"
"1000QM";"2025-11-21";10001;"Line 1";"NS";2018.3;1699.1;337.7;354
"1001IF";"2025-05-11";10006;"Line 1";"AS";1697.9;1584.4;132.4;381
"1001KM";"2025-04-11";10003;"Line 1";"AS";1615.7;1594.4;29.0;452
"1001RI";"2025-10-15";10005;"Line 2";"AS";1303.4;1208.2;111.5;466
"1001ZB";"2025-12-18";10016;"Line 2";"AS";1103.7;1068.2;37.8;449
"1002LM";"2025-03-23";10013;"Line 3";"DS";2111.3;1891.5;229.3;521
"1002QX";"2025-04-09";10002;"Line 1";"DS";2154.5;1808.0;365.8;337
"1002ZA";"2025-03-18";10006;"Line 1";"NS";1722.3;1526.3;202.0;467
"1003AK";"2025-03-16";10002;"Line 1";"AS";1272.7;1226.9;49.5;457
"1003HA";"2025-08-19";10009;"Line 1";"DS";1684.7;1667.9;20.5;344
"1003WS";"2025-10-14";10017;"Line 3";"DS";1241.4;1147.9;108.6;444
"1004BP";"2025-05-30";10004;"Line 2";"AS";1734.1;1537.0;200.8;508
"1004UC";"2025-11-26";10019;"Line 3";"AS";2398.1;2321.2;88.6;457
"1005GB";"2025-05-29";10007;"Line 3";"NS";1890.9;1773.5;132.9;491
"1005UA";"2025-03-07";10005;"Line 2";"AS";1151.9;1068.1;84.7;394
"1006AF";"2025-10-20";10009;"Line 1";"DS";1761.1;1536.9;227.7;374
"1006MI";"2025-02-26";10007;"Line 3";"DS";2033.6;1769.0;267.6;509
"1006VC";"2025-03-05";10009;"Line 1";"AS";2052.4;1817.9;237.4;297
"1007CB";"2025-05-24";10016;"Line 2";"DS";1464.9;1450.3;18.0;427
"1007FA";"2025-05-01";10009;"Line 1";"DS";1556.2;1454.6;119.2;371
"1007GN";"2025-09-02";10018;"Line 1";"AS";1397.3;1299.3;112.3;451
"1007VT";"2025-10-24";10002;"Line 1";"AS";1549.0;1425.4;127.0;448
"1007XM";"2025-07-19";10002;"Line 1";"DS";2382.9;2347.5;48.7;354
"1007XT";"2025-09-03";10010;"Line 3";"DS";1719.3;1648.7;74.4;484
"1008IB";"2025-08-07";10013;"Line 3";"DS";2159.4;1834.7;329.2;521
"1009BR";"2025-10-21";10012;"Line 1";"AS";2325.6;2302.3;29.4;401
"1010AC";"2025-12-23";10009;"Line 1";"AS";1752.8;1654.9;98.5;448
"1011XA";"2025-09-26";10004;"Line 2";"DS";1812.2;1757.9;55.9;414
"1012FJ";"2025-02-13";10009;"Line 1";"DS";1591.7;1430.1;168.9;380
"1012ME";"2025-09-19";10019;"Line 3";"AS";1397.3;1353.3;57.0;406
"1012SA";"2025-01-06";10003;"Line 1";"NS";1439.4;1334.4;124.5;478
"1012SN";"2025-03-22";10012;"Line 1";"DS";1282.8;1199.1;93.7;454
"1013AE";"2025-06-06";10012;"Line 1";"DS";1991.7;1708.1;292.0;494
