"Downtime_id";"Batch_id";"Downtime_minutes";"Severity";"Reason"
42308;"2927YE";51;"Medium";"Cleaning"
83584;"4846WC";31;"Low";"Power Failure"
27616;"2720QB";109;"Medium";"Machine Jam"
17341;"8328MZ";73;"Medium";"Maintenance"
99682;"7848XH";30;"Medium";"Material Shortage"
78663;"8333UJ";96;"Medium";"Maintenance"
62571;"2724SP";41;"Low";"Machine Jam"
43170;"6002IZ";107;"Medium";"Maintenance"
84004;"9823US";94;"Medium";"Machine Jam"
37880;"7480VM";38;"Low";"Power Failure"
30868;"6989UX";71;"Medium";"Sensor Fault"
46913;"7087PH";113;"Medium";"Machine Jam"
77982;"2391AJ";33;"Low";"Packaging Issue"
29086;"8025SQ";149;"High";"Machine Jam"
38570;"7670GC";110;"Medium";"Maintenance"
91709;"6898BU";37;"Low";"Material Shortage"
70643;"3868QU";48;"Medium";"Packaging Issue"
97986;"6905JF";6;"Low";"Machine Jam"
63278;"7455JY";90;"Medium";"Power Failure"
45699;"3908SP";43;"Medium";"Machine Jam"
54452;"3642AZ";74;"Medium";"Packaging Issue"
10909;"8222ZB";111;"Medium";"Maintenance"
28453;"3744WK";39;"Medium";"Cleaning"
90281;"1999EF";21;"Low";"Maintenance"
56063;"5896SC";201;"High";"Packaging Issue"
73135;"3697JU";67;"Medium";"Maintenance"
70022;"1622WV";279;"High";"Machine Jam"
48436;"6487KX";46;"Medium";"Maintenance"
52725;"7545BO";122;"High";"Packaging Issue"
61213;"2656SV";117;"Medium";"Machine Jam"
95129;"5639RD";29;"Low";"Cleaning"
69079;"8036HX";92;"Medium";"Machine Jam"
65067;"4235YT";22;"Low";"Machine Jam"
53429;"5982AK";106;"High";"Maintenance"
28975;"9021FZ";253;"High";"Cleaning"
94797;"7223WW";14;"Low";"Sensor Fault"
99121;"2709SJ";23;"Low";"Material Shortage"
69394;"5001WR";20;"Low";"Packaging Issue"
17490;"4629GG";24;"Low";"Machine Jam"
28045;"2484KH";67;"Medium";"Machine Jam"
79761;"6516PA";33;"Low";"Sensor Fault"
18262;"8414KP";41;"Low";"Maintenance"
86665;"2804DY";102;"Medium";"Power Failure"
47607;"7220AQ";43;"Low";"Packaging Issue"
10997;"4322MK";44;"Low";"Cleaning"
45459;"6427MD";37;"Medium";"Material Shortage"
99904;"2522UJ";44;"Low";"Sensor Fault"
94373;"8395HI";56;"Medium";"Power Failure"
46025;"2863XN";223;"High";"Material Shortage"
95389;"3923AV";109;"Medium";"Material Shortage"
59662;"7803SS";210;"High";"Machine Jam"
41235;"1024QF";61;"Medium";"Packaging Issue"
27633;"8597IW";138;"High";"Maintenance"
54146;"1075GP";24;"Low";"Machine Jam"
62249;"8634UU";105;"Medium";"Maintenance"
22335;"1194SW";282;"High";"Power Failure"
85464;"6177UM";160;"High";"Machine Jam"
64443;"2971RB";87;"Medium";"Maintenance"
90671;"8413QJ";44;"Low";"Material Shortage"
17104;"8526TD";96;"Medium";"Packaging Issue"
28576;"1707LP";37;"Low";"Machine Jam"
60582;"3076RP";42;"Medium";"Machine Jam"
62418;"4488HC";75;"Medium";"Material Shortage"
14685;"2173GR";248;"High";"Cleaning"
29766;"1852SR";95;"Medium";"Packaging Issue"
77201;"3218HE";228;"High";"Packaging Issue"
78460;"9771HV";58;"Medium";"Cleaning"
46379;"5888RV";10;"Low";"Material Shortage"
85873;"3957MF";89;"Medium";"Machine Jam"
65610;"4316SU";117;"Medium";"Maintenance"
22275;"9155ZN";38;"Low";"Packaging Issue"
66006;"8312OV";110;"Medium";"Machine Jam"
35022;"5656SC";40;"Low";"Machine Jam"
60459;"3314WE";14;"Low";"Maintenance"
34767;"4239HS";56;"Medium";"Machine Jam"
21204;"6754PB";72;"Medium";"Packaging Issue"
71731;"3561BC";38;"Medium";"Machine Jam"
61037;"9433RY";33;"Medium";"Machine Jam"
50408;"6414PI";35;"Low";"Packaging Issue"
88611;"9463OF";10;"Low";"Packaging Issue"
96541;"7865YF";285;"High";"Packaging Issue"
82660;"6470GT";37;"Low";"Machine Jam"
25584;"5656XI";59;"Medium";"Packaging Issue"
96951;"7346ES";41;"Low";"Packaging Issue"
69413;"4979MX";24;"Low";"Machine Jam"
31516;"7888QA";223;"High";"Machine Jam"
65309;"6192TO";59;"Medium";"Packaging Issue"
72467;"7368FJ";70;"Medium";"Machine Jam"
77090;"8732JY";51;"Medium";"Maintenance"
47840;"7087JL";43;"Low";"Machine Jam"
56275;"8550EL";78;"Medium";"Maintenance"
14889;"4725FK";11;"Low";"Machine Jam"
21740;"3924OV";114;"Medium";"Packaging Issue"
95299;"1451GE";102;"Medium";"Maintenance"
43136;"3014BA";37;"Low";"Maintenance"
40852;"2504AF";112;"Medium";"Sensor Fault"
58430;"1384OB";48;"Medium";"Sensor Fault"
28666;"9134JB";100;"Medium";"Material Shortage"
51647;"2009UM";98;"High";"Maintenance"
87860;"9205FP";28;"Low";"Maintenance"
18437;"4553KM";65;"Medium";"Power Failure"
81856;"2915HJ";99;"Medium";"Power Failure"
23433;"5852LN";13;"Low";"Material Shortage"
60585;"7060SJ";34;"Low";"Machine Jam"
58772;"3605BA";37;"Low";"Machine Jam"
64208;"7193QM";101;"Medium";"Sensor Fault"
72894;"3845FH";91;"High";"Machine Jam"
38408;"2937XK";97;"Medium";"Packaging Issue"
95675;"7104SI";20;"Low";"Machine Jam"
24100;"6753NW";9;"Low";"Machine Jam"
61692;"1482ZW";107;"High";"Packaging Issue"
25710;"5688KB";110;"Medium";"Maintenance"
85071;"2288DY";75;"Medium";"Machine Jam"
89879;"1997QL";91;"Medium";"Maintenance"
73921;"2876WK";44;"Low";"Cleaning"
34272;"2746QK";122;"High";"Machine Jam"
60677;"8120QX";232;"High";"Power Failure"
24519;"6699AU";32;"Medium";"Packaging Issue"
30306;"9946NN";200;"High";"Packaging Issue"
44797;"3959YA";116;"High";"Maintenance"
82090;"2254QU";62;"Medium";"Machine Jam"
86598;"4387VG";118;"Medium";"Packaging Issue"
83789;"9463MS";75;"Medium";"Material Shortage"
58543;"6716CO";70;"Medium";"Packaging Issue"
38971;"2286JD";300;"High";"Machine Jam"
57198;"1561TE";27;"Low";"Maintenance"
16956;"6876NU";12;"Low";"Maintenance"
22080;"6484NI";73;"Medium";"Material Shortage"
42850;"5809ZQ";33;"Medium";"Packaging Issue"
71513;"9362ZS";60;"Medium";"Sensor Fault"
26655;"8121MV";40;"Low";"Machine Jam"
69015;"3640UN";30;"Low";"Sensor Fault"
79383;"1230JI";95;"Medium";"Maintenance"
64755;"2711RD";63;"Medium";"Maintenance"
13780;"6197UJ";243;"High";"Machine Jam"
48352;"3354CB";77;"Medium";"Machine Jam"
12442;"9988NI";136;"High";"Maintenance"
19159;"7511YT";57;"Medium";"Cleaning"
56749;"6603VL";11;"Low";"Packaging Issue"
52818;"3112TP";10;"Low";"Packaging Issue"
54347;"8457YZ";38;"Low";"Machine Jam"
30372;"9201JB";116;"Medium";"Machine Jam"
11919;"9548LY";65;"Medium";"Machine Jam"
14895;"4192OL";11;"Low";"Machine Jam"
91547;"2161DD";21;"Low";"Maintenance"
23145;"7812FR";72;"Medium";"Packaging Issue"
17645;"5289MQ";23;"Low";"Cleaning"
20743;"2281WX";58;"Medium";"Machine Jam"
26006;"1471BY";45;"Medium";"Maintenance"
11988;"6050LY";242;"High";"Maintenance"
91025;"4407TI";17;"Low";"Maintenance"
55701;"6428UV";20;"Low";"Machine Jam"
12689;"1973QH";225;"High";"Maintenance"
87515;"8349XQ";70;"Medium";"Maintenance"
94564;"5992FD";56;"Medium";"Sensor Fault"
63898;"3821SR";238;"High";"Sensor Fault"
87585;"1254GD";17;"Low";"Machine Jam"
52408;"1714BY";248;"High";"Machine Jam"
99318;"5018RL";9;"Low";"Cleaning"
89882;"5510JQ";40;"Medium";"Machine Jam"
81002;"4775DC";145;"High";"Machine Jam"
11616;"7521WW";19;"Low";"Packaging Issue"
62380;"7551FK";36;"Low";"Packaging Issue"
86675;"5469ES";77;"Medium";"Cleaning"
90776;"6808ZX";18;"Low";"Power Failure"
52500;"6397OT";62;"Medium";"Machine Jam"
90780;"3377LX";69;"Medium";"Machine Jam"
21442;"8421QG";42;"Low";"Machine Jam"
18709;"7658II";43;"Low";"Machine Jam"
32866;"5876IW";50;"Medium";"Machine Jam"
88762;"4017LW";170;"High";"Sensor Fault"
59252;"5784CI";21;"Low";"Maintenance"
93931;"2672WO";70;"Medium";"Maintenance"
20611;"8651CK";244;"High";"Maintenance"
65254;"4150BP";118;"Medium";"Material Shortage"
88229;"2904LX";8;"Low";"Machine Jam"
50173;"6202BL";291;"High";"Machine Jam"
92872;"3383JB";55;"Medium";"Packaging Issue"
94699;"5238RN";236;"High";"Cleaning"
77164;"6019XM";94;"Medium";"Cleaning"
24618;"1402CM";109;"Medium";"Power Failure"
39148;"6890YS";37;"Medium";"Packaging Issue"
38568;"3170SQ";6;"Low";"Maintenance"
77790;"2114CD";10;"Low";"Packaging Issue"
55658;"1346TH";18;"Low";"Cleaning"
62709;"6901XC";18;"Low";"Cleaning"
27461;"4768BV";88;"Medium";"Machine Jam"
38780;"9684HC";88;"Medium";"Machine Jam"
81871;"5616ZC";6;"Low";"Machine Jam"
98216;"6497ID";119;"Medium";"Cleaning"
40057;"1631JU";105;"Medium";"Machine Jam"
62358;"8348EN";233;"High";"Maintenance"
73010;"1390SS";44;"Medium";"Machine Jam"
59548;"6187QJ";248;"High";"Packaging Issue"
23204;"3401AA";34;"Medium";"Cleaning"
78780;"9402GR";110;"Medium";"Packaging Issue"
80088;"7270UJ";70;"Medium";"Packaging Issue"
30207;"1089WE";7;"Low";"Packaging Issue"
27360;"8681AA";54;"Medium";"Machine Jam"
38745;"9731JR";63;"Medium";"Material Shortage"
28316;"4981FY";104;"Medium";"Maintenance"
93834;"7151UX";120;"Medium";"Packaging Issue"
71679;"1919GX";96;"High";"Packaging Issue"
49382;"8641TH";161;"High";"Machine Jam"
72127;"3701SW";181;"High";"Maintenance"
48143;"4314WM";85;"Medium";"Machine Jam"
53269;"5477CE";38;"Low";"Packaging Issue"
52379;"2205KH";87;"Medium";"Material Shortage"
69139;"1435XF";28;"Low";"Maintenance"
60987;"7214VG";20;"Low";"Cleaning"
61140;"5360DC";277;"High";"Machine Jam"
49768;"6739DQ";112;"High";"Maintenance"
23998;"4726TK";41;"Medium";"Power Failure"
39225;"7030AR";243;"High";"Machine Jam"
20259;"9126LM";15;"Low";"Power Failure"
58677;"2877KL";50;"Medium";"Machine Jam"
82585;"1575IN";45;"Low";"Machine Jam"
49723;"9250RP";114;"Medium";"Machine Jam"
15405;"3511QR";190;"High";"Power Failure"
49810;"9086NZ";109;"Medium";"Packaging Issue"
10536;"9439KA";19;"Low";"Power Failure"
97785;"1167NI";57;"Medium";"Machine Jam"
90649;"8587AW";5;"Low";"Maintenance"
35199;"6360MC";98;"Medium";"Machine Jam"
41178;"5007SF";142;"High";"Machine Jam"
53143;"9273GC";40;"Medium";"Maintenance"
63139;"4561ZY";260;"High";"Machine Jam"
44243;"6888SI";43;"Medium";"Machine Jam"
65619;"5142HX";99;"Medium";"Maintenance"
10608;"4131YJ";71;"Medium";"Machine Jam"
13962;"6403QJ";39;"Low";"Machine Jam"
59363;"9239JI";35;"Low";"Maintenance"
84872;"3265UC";55;"Medium";"Machine Jam"
24865;"3748BW";77;"Medium";"Material Shortage"
29180;"6328OP";82;"Medium";"Maintenance"
68393;"5189ZO";97;"Medium";"Packaging Issue"
30457;"2540EY";7;"Low";"Material Shortage"
31438;"1519OS";118;"Medium";"Machine Jam"
89825;"1350NR";6;"Low";"Machine Jam"
26668;"3792KE";114;"Medium";"Maintenance"
58592;"9770RR";152;"High";"Machine Jam"
46464;"1105YO";61;"Medium";"Material Shortage"
61437;"8197GH";90;"Medium";"Maintenance"
58342;"3522YG";29;"Low";"Machine Jam"
23276;"5483AN";93;"Medium";"Packaging Issue"
69093;"6661GH";106;"Medium";"Machine Jam"
26093;"6988JM";18;"Low";"Cleaning"
61918;"7336JT";159;"High";"Cleaning"
92471;"2435ZG";44;"Medium";"Machine Jam"
80784;"7949HD";32;"Low";"Maintenance"
93336;"9370DK";116;"Medium";"Machine Jam"
56027;"6712JN";44;"Medium";"Packaging Issue"
30240;"1968ME";9;"Low";"Material Shortage"
70141;"1198XU";109;"High";"Packaging Issue"
77118;"6979GA";37;"Medium";"Material Shortage"
54295;"9074DU";89;"Medium";"Machine Jam"
77442;"5189CN";99;"High";"Machine Jam"
49438;"6794BJ";105;"Medium";"Machine Jam"
